[2026-06-12 13:54:37] local.INFO: prompts:aggregate-views {"prompts_touched":10,"rows_folded":291} 
[2026-06-12 13:54:43] local.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:21:55] testing.INFO: prompts:aggregate-views {"prompts_touched":2,"rows_folded":10} 
[2026-06-12 16:21:55] testing.INFO: prompts:aggregate-views {"prompts_touched":1,"rows_folded":5} 
[2026-06-12 16:21:55] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:21:55] testing.INFO: prompts:aggregate-views {"prompts_touched":1,"rows_folded":6} 
[2026-06-12 16:21:55] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:22:08] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:22:27] testing.INFO: prompts:aggregate-views {"prompts_touched":2,"rows_folded":10} 
[2026-06-12 16:22:27] testing.INFO: prompts:aggregate-views {"prompts_touched":1,"rows_folded":5} 
[2026-06-12 16:22:27] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:22:27] testing.INFO: prompts:aggregate-views {"prompts_touched":1,"rows_folded":6} 
[2026-06-12 16:22:27] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:23:54] testing.INFO: prompts:aggregate-views {"prompts_touched":2,"rows_folded":10} 
[2026-06-12 16:23:54] testing.INFO: prompts:aggregate-views {"prompts_touched":1,"rows_folded":5} 
[2026-06-12 16:23:54] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:23:54] testing.INFO: prompts:aggregate-views {"prompts_touched":1,"rows_folded":6} 
[2026-06-12 16:23:54] testing.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
[2026-06-12 16:25:02] local.INFO: prompts:aggregate-views {"prompts_touched":10,"rows_folded":261} 
[2026-06-12 16:25:19] local.INFO: prompts:aggregate-views {"prompts_touched":0,"rows_folded":0} 
